id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat,telephone
1,Olive ERA,"Lion Rise Mal Shop G1-2, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Italian,International,Wine/Cigar,Seafood,Wong Tai Sin,300,Western,Wong Tai Sin,114.1968526,22.3400919,7914-4416
2,ItaMoMo Cafe,"Shop 130, L1/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$51-$100,Italian,Western Restaurant,,,Wong Tai Sin,75,Western,Wong Tai Sin,114.193556,22.341382,7833-1888
3,Wing Lai Yuen Sze Chuen Noodles Restaurant,"G/F, 15-17 Fung Tak Road, Wong Tai Sin",$51-$100,Sichuan,Stir-Fry,,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1963847,22.3433459,8041-3993
4,Singapore Restaurant,"Shop 16, G/F., Lions Rise, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Singaporean,Curry,Skewer,Skewer,Wong Tai Sin,75,Asian,Wong Tai Sin,114.197253,22.340665,3338-5089
5,8 Happiness,"Shop G4A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$101-$200,Taiwan,Stir-Fry,,,Wong Tai Sin,300,Chinese,Wong Tai Sin,114.193556,22.341382,6721-2640
6,South Chinese Style Restaurant,"4 Ngan Fung Street, Wong Tai Sin",$51-$100,Guangdong,Taiwan,Ramen,Fine Dried Seafood,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1980809,22.3440091,3724-3103
7,V Cuisine,"Shop 8, 2/F, Lionsrise, 8 Muk Lun Street, Wong Tai Sin",$201-$400,Guangdong,Dim Sum,Stir-Fry,Business Dining,Wong Tai Sin,150,Hong Kong,Wong Tai Sin,114.197253,22.340665,8984-6308
8,Starbucks Coffee,"Shop G3B, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,American,Salad,Coffee Shop,Casual Drink,Wong Tai Sin,40,Western,Wong Tai Sin,114.193556,22.341382,8577-2536
9,Spicy House,"G/F, 46 Fei Fung Street, Wong Tai Sin",$51-$100,Sichuan,Hot Chili Oil,Skewer,Skewer,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1961578,22.3437569,4333-4825
10,U-Banquet,"2/F, Ho Yuen Centre, 110 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Hot Pot,Seafood,Dim Sum,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.197303,22.342091,6557-0244
11,Ying Tao Roasted Meat Restaurant,"G/F, 20 Sheung Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,Chinese BBQ,Takeaway,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,5779-2607
12,Hyacinth Dessert,"G/F,52 Wan Fung Street, Wong Tai Sin",Below $50,Western,Dessert,Western Restaurant,,Wong Tai Sin,40,Western,Wong Tai Sin,114.1983805,22.3442608,4147-3781
13,Bellapasto Italian Cuisine,"G/F, 32 Ming Fung Street, Wong Tai Sin",$201-$400,Italian,Western Restaurant,,,Wong Tai Sin,150,Western,Wong Tai Sin,114.1968925,22.3443256,5559-3651
14,Ganso Yokocho,"Shop 10, G/F, Lions Rise Hill, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Japanese,Sushi/Sashimi,Yoshoku,,Wong Tai Sin,300,Asian,Wong Tai Sin,114.197253,22.340665,3958-9178
15,Shanghai Teng,"Shop LG08, LG/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$101-$200,Shanghai,Stir-Fry,,,Wong Tai Sin,300,Chinese,Wong Tai Sin,114.1918744,22.3421957,4655-9491
16,Gaia Veggie Shop,"Shop 102-103, 1/F, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$101-$200,Hong Kong Style,Vegetarian,,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.197253,22.340665,2864-3384
17,Original Taste,"G/F, 44 Shung Wah Street, Fung Wong New Village, Wong Tai Sin",$101-$200,International,Skewer,Skewer,,Wong Tai Sin,300,International,Wong Tai Sin,114.1929813,22.3429615,4569-5200
18,Hakka Cuisine,"Unit 16, 1st Floor, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Hakka,Meatless Menu,Dim Sum Restaurant,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.197253,22.340665,3827-3497
19,Arome Bakery,"Shop 9, Wong Tai Sin MTR Station, Wong Tai Sin",Below $50,Western,Bakery,,,Wong Tai Sin,40,Western,Wong Tai Sin,114.1929813,22.3429615,7743-7347
20,Bao Dim Sin Seng,"Shop LG13, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Chinese Buns,Meatless Menu,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,4679-5936
21,Wah Yuen Restaurant,"G/F, 1 Wan Fung St, Fung Wong Sun Chuen, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,1950-3372
22,House of Ho Yuen Noodle Cuisine,"Shop 21, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",Below $50,Chiu Chow,Hong Kong Style,Noodles/Rice Noodles,Wonton/Dumpling,Wong Tai Sin,40,Chinese,Wong Tai Sin,114.197253,22.340665,6850-8552
23,Gold Mondo Vietnamese Restaurant,"Room 9, G/F, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Vietnamese,Noodles/Rice Noodles,,,Wong Tai Sin,75,Asian,Wong Tai Sin,114.197253,22.340665,1975-0022
24,A-1 Bakery,"Shop G3A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Western,Bakery,Meatless Menu,,Wong Tai Sin,40,Western,Wong Tai Sin,114.193556,22.341382,1827-3851
25,Good Idea Restaurant,"5 Kam Fung Street, Wong Tai Sin",$51-$100,Hong Kong Style,Hot Pot,Seafood,Curry,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1980476,22.3449988,8410-0051
26,Genki Sushi,"Shop G4C, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Wong Tai Sin,300,Asian,Wong Tai Sin,114.193556,22.341382,5053-2874
27,Saizeriya Italian Restaurant,"Unit 15, 1st Floor, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin, Kowloon, Wong Tai Sin",$51-$100,Italian,Pizza,Western Restaurant,,Wong Tai Sin,75,Western,Wong Tai Sin,114.197253,22.340665,2809-9736
28,Super Super Congee & Noodle,"Shop S112, 1/F., Chuk Yuen Shopping Centre, 15 Chuk Yuen Road, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,Congee,Fast Food,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.194235,22.343992,5175-5201
29,PHD,"Shop G04C, G/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$51-$100,Italian,Pizza,Takeaway,,Wong Tai Sin,75,Western,Wong Tai Sin,114.1918744,22.3421957,9114-7402
30,Hsin Kuang Banquet Hall,"2/F, Hsin Kuang Centre, 120 Lung Cheung Rd., Wong Tai Sin",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.196518,22.3420329,5148-8991
31,Cafe 360,"Shop G12, G/F, Lions Rise Mall, 8 Muk Lun Street, Wong Tai Sin",$51-$100,Western,International,Pizza,Hamburger,Wong Tai Sin,75,Western,Wong Tai Sin,114.197253,22.340665,2577-9051
32,Yau Kee,"G/F, Fong Wong Chuen Building, 5 Ngan Fung Street, Fung Wong San Tsuen, Wong Tai Sin",Below $50,Guangdong,Noodles/Rice Noodles,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,6411-1155
33,iEAT,"Shop No.3, G/F, Lion Rise Mall, 8 Muk Lun Street, Wong Tai Sin",Below $50,Japanese,Takeaway,,,Wong Tai Sin,40,Asian,Wong Tai Sin,114.197253,22.340665,3988-4546
34,Ming Kee Noodle Restaurant,"G/F, 24-28 Wan Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,Takeaway,Tea Restaurant,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,3122-7874
35,Gold Moon Seafood Restaurant,"Shop 36-40, Fei Fung Street, Fung Wong San Tsuen, Wong Tai Sin",$101-$200,Guangdong,Seafood,Seafood Restaurant,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,9235-0466
36,Jade Garden Restaurant,____________15______________012____,$51-$100,Hong Kong Style,Noodles/Rice Noodles,Soup,Chinese BBQ,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1568559,22.4640684,7571-8303
37,AROI Thai,"Shop N141, 1/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$101-$200,Thai,,,,Wong Tai Sin,300,Asian,Wong Tai Sin,114.1918744,22.3421957,4871-0267
38,Long Kee,"Shop D, 34 Sheung Fung Street, Fung Wong New Village, Wong Tai Sin",Below $50,Hong Kong Style,Food Stall Noodles,Noodles/Rice Noodles,Curry,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,6875-7878
39,Mun Yuen Coffee Shop,"Shop 24, Ngan Fung Street, Fung Wong New Village, Wong Tai Sin",Below $50,Hong Kong Style,Tea Restaurant,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,6803-4607
40,Hung Hing Restaurant,"22 Ngan Fung Street, Wong Tai Sin",$51-$100,Chiu Chow,Chinese BBQ,,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1979735,22.3445542,2285-6214
41,Foo Lum Fishman's Wharf Restaurant,"3/F, Hsin Kuang Centre, 120 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Hot Pot,Dim Sum,Dim Sum Restaurant,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.196518,22.3420329,5884-5515
42,euro go go,"Shop N115, L1/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$51-$100,Western,,,,Wong Tai Sin,75,Western,Wong Tai Sin,114.1918744,22.3421957,6394-9473
43,Pacific Coffee Company,"Shop N111 & N112, Level 1, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",Below $50,Western,Salad,Cake,Coffee Shop,Wong Tai Sin,40,Western,Wong Tai Sin,145.0805995,-37.8876953,5816-6241
44,Kam Tai Pan,"No. 1-4, Cooked Food Stall, Chuk Yuen South Estate, Wong Tai Sin",Below $50,Hong Kong Style,Congee,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,4215-2428
45,Shanghai Lao Lao,"Shop 132, Level One, Temple Mall South, Wong Tai Sin",$51-$100,Shanghai,Ramen,Stir-Fry,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1929813,22.3429615,2101-4732
46,Jade Garden Chinese Restaurant,"Shop G12, G/F, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Stir-Fry,,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.1918744,22.3421957,2523-3475
47,Guangdong Roast Restaurant,"Shop 2, G/F, Hsin Kuang Centre, 120 Lung Cheung Road, Wong Tai Sin",Below $50,Guangdong,Chinese BBQ,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.196534,22.342032,4446-3673
48,Fung Wong Roasted Meat Restaurant,"G/F, 26 Ngan Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Guangdong,Chinese BBQ,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,4003-9936
49,McDonald's,"Shop S219A, Chuk Yuen South Estate,, Wong Tai Sin",Below $50,American,Hamburger,Fast Food,,Wong Tai Sin,40,Western,Wong Tai Sin,114.1929813,22.3429615,5427-9203
50,McDonald's,"Shop 123, L1/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,American,Hamburger,Fast Food,,Wong Tai Sin,40,Western,Wong Tai Sin,114.193556,22.341382,2792-3332
51,MING KING RESTAURANT,"1/F, Kai Tak Garden Phase 2, Tai Shing Street, Wong Tai Sin",$101-$200,Hong Kong Style,Seafood,Dim Sum,Chicken Hot Pot,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.1936648,22.3377603,4707-3388
52,Rice Fort Restaurant,"G/F, 3 Ngan Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,2944-6027
53,Pizza Hut,"Shop 5-6, G/F, Profit Mansion, 23 Fei Fung Street, Wong Tai Sin",$101-$200,Italian,Pizza,Takeaway,Western Restaurant,Wong Tai Sin,300,Western,Wong Tai Sin,114.1968806,22.3436679,1610-3648
54,Kam Lung Wah Snack Shop,"G/F, 2 Ngan Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Congee,Takeaway,Tea Restaurant,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,4706-8771
55,Ka Ka Chung Cake Shop,"Shop S3, Chuk Yuen Plaza, Chuk Yuen South Estate, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,1992-5685
56,Chong Wing Restaurant,"Shop S113, 1/F, Chuk Yuen South Plaza, 15 Chuk Yuen Road, Wong Tai Sin",$51-$100,Hong Kong Style,Tea Restaurant,,,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.194235,22.343992,3132-1408
57,Analie Restaurant Indonesia,"Shop2, G/F, 33 Fei Fung St., Wong Tai Sin",Below $50,Indonesian,Curry,,,Wong Tai Sin,40,Asian,Wong Tai Sin,114.1964174,22.3436796,8802-1091
58,Kim Po Restaurant,____________________6__,Below $50,Hong Kong Style,Food Stall Noodles,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.2348162,22.3045147,7563-0009
59,Ant One,"Shop G13, G/F, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",$101-$200,International,Western Restaurant,,,Wong Tai Sin,300,International,Wong Tai Sin,114.1918744,22.3421957,9279-8833
60,BreadPlus,"Shop S05, 2/F, Tin Ma Shopping Centre, Wong Tai Sin",Below $50,Japanese,Western,Bakery,,Wong Tai Sin,40,Asian,Wong Tai Sin,114.1929813,22.3429615,1957-3286
61,Red Cherry Bakery,"G/F., 14 Sheung Fung Street, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1976874,22.3439795,2301-8558
62,Hui Lau Shan,"Shop G7, G/F, Wong Tai Sin Shopping Cerntre, Wong Tai Sin Estate, Wong Tai Sin",Below $50,Hong Kong Style,Dessert,Sweet Soup,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,3719-7600
63,Mighty Taste Cuisine,"Shop 1G, G/F, Baily Court, 33 Po Kong Village Road, Wong Tai Sin",$201-$400,Guangdong,Sichuan,Hot Pot,Chicken Hot Pot,Wong Tai Sin,150,Hong Kong,Wong Tai Sin,114.1985335,22.3434511,2669-0731
64,Maxim's Cake Shop,"Shop S102, Chuk Yuen Shopping Centre, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,5787-3439
65,Luen Hing Restaurant,"G/F, 3 Kam Fung St, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,7109-3091
66,Cheung Fat,"CF3, 2/F, Tai Shing St Market, 121 Choi Hung Rd,, Wong Tai Sin",$51-$100,Hong Kong Style,Hot Pot,Seafood,Noodles/Rice Noodles,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1948126,22.3372429,6535-8169
67,Itacho Sushi,"Shop G07, G/F, Temple Mall North, 136 Lung Cheung Rd, Wong Tai Sin",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Wong Tai Sin,300,Asian,Wong Tai Sin,114.1918744,22.3421957,4424-3054
68,Hak Ka Hut,"Shop 101-101B, L1/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",$101-$200,Hakka,Stir-Fry,,,Wong Tai Sin,300,Chinese,Wong Tai Sin,114.193556,22.341382,1025-8393
69,Tak Kee,"CF 7-8, 2/F, Tai Shing Street Market, 121 Choi Hun, Wong Tai Sin",Below $50,Hong Kong Style,Coffee Shop,Snack Shop & Deli,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,7065-5670
70,Tai Cheong Bakery,"Shop S209, 2/F, Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,Takeaway,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.194235,22.343992,6312-1016
71,McCafe,______________________S219A____________,Below $50,American,Bakery,Coffee Shop,,Wong Tai Sin,40,Western,Wong Tai Sin,114.109497,22.396428,9915-4651
72,Hung Fook Tong,"S221,   Chuk Yuen South Estate Plaza,, Wong Tai Sin",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193203,22.343535,8244-3112
73,Vegetable Garden,"G/f, 83 Fung Tak Road, Wong Tai Sin",Below $50,Hong Kong Style,Vegetarian,Takeaway,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1982623,22.3434844,9000-7509
74,Eat East,"Shop S128, 1/F, Chuk Yuen Plaza, Chuk Yuen South Estate, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,6254-2249
75,Wing Kee Noodles,"CF 2, Lower Wong Tai Sin Estate Lung Lok House, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,1350-6256
76,Bar Pacific,"G/F, 31 Fung Tak Road, Wong Tai Sin",$101-$200,International,Bar,Private Party,,Wong Tai Sin,300,International,Wong Tai Sin,114.1966708,22.3433663,1604-5382
77,Tat Fat Restaurant,"Shop 114, 1/F, Chuk Yuen South Estate Arcade,, Wong Tai Sin",Below $50,Guangdong,Dim Sum,Stir-Fry,Dim Sum Restaurant,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,4974-4337
78,Cheung Hing Loon Noodle,"CF2, 2/F, Tai Shing Street Market, 121 Choi Hung R, Wong Tai Sin",Below $50,Hong Kong Style,Coffee Shop,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,3993-1663
79,Shing Fat,"CF6, 2/F, Tai Shing Street Market, 121 Choi Hung R, Wong Tai Sin",$51-$100,Chiu Chow,Coffee Shop,,,Wong Tai Sin,75,Chinese,Wong Tai Sin,114.1929813,22.3429615,8943-1425
80,Walnut Shop,"Shop LG6, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,2904-6161
81,Eat East,"Shop LG3, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Takeaway,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,7335-1697
82,Health Works,"Shop WTS 7-8, Wong Tai Sin MTR Station , Wong Tai Sin",Below $50,Hong Kong Style,Herbal Tea,Herbal Cuisine,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,3126-0999
83,Dim Sum House,____________________27__,Below $50,Hong Kong Style,Dim Sum,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1894981,22.3060646,9433-8023
84,Ho Yuen Bakery,"Shop 108, Lung Poon Court Commercial Complex, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,Snack Shop & Deli,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,5112-7626
85,Good Taste Bakery,"Shop S012-013, Chuk Yuen Plaza, 15 Chuk Yuen Road, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.194235,22.343992,4793-1276
86,Saint Honore Cake Shop,"Shop S220, To Yuen Centre, Chuk Yuen South Estate, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,4654-3105
87,Bao Dim Sin Seng,"Shop 18, G/F, Kai Tak Garden, 121 Choi Hung Road, Wong Tai Sin",Below $50,Hong Kong Style,Chinese Buns,Meatless Menu,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1948126,22.3372429,5407-0191
88,Wing Wah,"Shop LG7, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,Chinese Cake,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,7561-5261
89,Yamazaki Bakery,"Shop LG10, LG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Japanese,Bakery,,,Wong Tai Sin,40,Asian,Wong Tai Sin,114.193556,22.341382,5484-2913
90,Supper Express,"Shop E, 1 Ngan Fung St G/F, Fung Wong Sun Chuen,, Wong Tai Sin",Below $50,Japanese,Sushi/Sashimi,Takeaway,,Wong Tai Sin,40,Asian,Wong Tai Sin,114.1929813,22.3429615,2831-7927
91,Cafde Coral,"Shop UG5-UG9, UG/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,5581-4912
92,THE PHOENIX,"G/F, 34 Fei Fung Street, Wong Tai Sin",$101-$200,Hong Kong Style,Hot Pot,,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.1968644,22.3437031,1997-5452
93,Foo Lum Palace,"3/F, Hsin Kuang Centre, 120 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.196518,22.3420329,4951-0316
94,BreadTalk,"Shop G05, G/F, Temple Mall North, 136 Lung Cheung Road, Wong Tai Sin",Below $50,Hong Kong Style,Bakery,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1918744,22.3421957,2604-9373
95,Chuk Yuen Restaurant,"Shop S110, Chuk Yuen Shopping Centre, Wong Tai Sin",Below $50,Hong Kong Style,Tea Restaurant,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,8946-7862
96,Maxim's MXMX,"Shop G4B, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Below $50,Hong Kong Style,Fast Food,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.193556,22.341382,9483-6479
97,Maxim's MXMX,"Shop S216, 2/F, Chuk Yuen Plaza, Chuk Yuen South Estate, Wong Tai Sin",Below $50,Hong Kong Style,Fast Food,,,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,3393-5478
98,Trusty Congee King,"Shop 120, 1/F, Temple Mall North, 104 Ching Tak Street, Wong Tai Sin",$51-$100,Hong Kong Style,Noodles/Rice Noodles,Congee,Tea Restaurant,Wong Tai Sin,75,Hong Kong,Wong Tai Sin,114.1943055,22.3409395,3814-5376
99,Azabu Sabo,"Shop N142, 1/F, Temple Mall North, Wong Tai Sin",$101-$200,Japanese,Dessert,Ice Cream/yogurt,Curry,Wong Tai Sin,300,Asian,Wong Tai Sin,114.1929813,22.3429615,8208-9898
100,Paramount Banquet Hall,"Shop N222, 2/F, Lung Cheung Plaza, 136 Lung Cheung Road, Wong Tai Sin",$101-$200,Guangdong,Hot Pot,Dim Sum,,Wong Tai Sin,300,Hong Kong,Wong Tai Sin,114.1918744,22.3421957,1689-8892
101,New Mui YUen Restaurant,"G/F 20, Wan Fung Street, Fung Wong Village, Wong Tai Sin",Below $50,Hong Kong Style,Noodles/Rice Noodles,Curry,Tea Restaurant,Wong Tai Sin,40,Hong Kong,Wong Tai Sin,114.1929813,22.3429615,2387-2532
102,Don Don Tei,"Shop 132, 1/F, Temple Mall South, 104 Ching Tak Street, Wong Tai Sin",$51-$100,Japanese,,,,Wong Tai Sin,75,Asian,Wong Tai Sin,114.1943055,22.3409395,1720-4945
103,Heart's Dessert,"Shop 104, 1/F., Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",Below $50,Hong Kong Style,Western,Dessert,Sweet Soup,Tsz Wan Shan,40,Hong Kong,Wong Tai Sin,114.200586,22.348177,4049-7011
104,Yummy Fast Food,"Shop 6, G/F, 16 Yuk Wah Crescent, Tsz Wan Shan",$51-$100,Vietnamese,,,,Tsz Wan Shan,75,Asian,Wong Tai Sin,114.202022,22.346718,6394-1410
105,Sam Kee Restaurant,"G/F, 6 Po King Lane, Tsz Wan Shan",$51-$100,Chiu Chow,Dim Sum,Dim Sum Restaurant,,Tsz Wan Shan,75,Chinese,Wong Tai Sin,114.202783,22.3466145,7083-9949
106,Pizza Mario,"Shop 1A, G/F, Man Po Building, 28 Yuk Wah Cresent, Tsz Wan Shan",Below $50,Italian,International,Fast Food,Snack Shop & Deli,Tsz Wan Shan,40,Western,Wong Tai Sin,114.2028185,22.346899,6169-9611
107,Sai Chuen Cuisine,"Shop 2-3, Che Wah Shopping Centre, 18 Yuk Wah Crescent, Tsz Wan Shan",$51-$100,Sichuan,Hot Pot,Noodles/Rice Noodles,Stir-Fry,Tsz Wan Shan,75,Chinese,Wong Tai Sin,114.2021505,22.3465295,6942-6002
