id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat,telephone
324,Cheers,"Shop 337A, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$401-$800,Western,Wine/Cigar,,,Diamond Hill,600,Western,Wong Tai Sin,114.2025004,22.341075,5111-2209
325,I Ban Janpanese Food,"3/F, Food Republic, Plaza Hollywood, Diamond Hill",Below $50,Japanese,,,,Diamond Hill,40,Asian,Wong Tai Sin,114.2010908,22.3411805,8404-8151
326,Planet Popcorn,"Shop D, 3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Taiwan,Snack Shop & Deli,,,Diamond Hill,75,Chinese,Wong Tai Sin,114.2025004,22.341075,7033-1166
327,Yee Hing Restaurant,"Shop 1B, Fu Lai House, Fu Shan Estate, Diamond Hill",Below $50,Hong Kong Style,Tea Restaurant,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,8732-9829
328,Aji Ichiban,"Shop 344, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Snack Shop & Deli,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2025004,22.341075,4902-2557
329,Lo Hong Ka,"Shop 302A, Level 3, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill, Diamond Hill",$51-$100,Guangdong,Dessert,,,Diamond Hill,75,Hong Kong,Wong Tai Sin,114.2010908,22.3411805,9566-1585
330,Hong Kong Cuisine,"3/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",Below $50,Hong Kong Style,Food Court,,,Diamond Hill,40,Hong Kong,Wong Tai Sin,114.2022955,22.340722,8627-6079
331,Fu Wah Restaurant,______________________,$101-$200,Hong Kong Style,Dim Sum Restaurant,,,Diamond Hill,300,Hong Kong,Wong Tai Sin,114.109497,22.396428,6381-0026
332,misocool,"Shop 288, 2/F, Plaza Hollywood, 3 Lung Poon Street, Diamond Hill",$51-$100,Japanese,Ramen,Wonton/Dumpling,,Diamond Hill,75,Asian,Wong Tai Sin,114.2025004,22.341075,7826-3136
333,M18,"Shop L103-L104, G/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Western,Bakery,All Day Breakfast,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3835-3305
334,DONDONYA SHOKUDO,"Shop L211-L214, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Japanese,Curry,Udon,Food Wise Eateries,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,7403-8126
335,Oyster Station Snack & Oyster Bar,"Market Stall No 401-402, G/F, Lok Fu Plaza, Lok Fu Estate, 198 Junction Road, Kowloon, Lok Fu",$401-$800,International,Seafood,Oyster Bar,,Lok Fu,600,International,Wong Tai Sin,114.18742,22.337608,5703-3746
336,Azabu Sabo,"Shop L224, UG2/F., Lok Fu Plaza, 198 Junction Road, Lok Fu",$101-$200,Japanese,Dessert,Ice Cream/yogurt,Curry,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,9174-3835
337,Luen Hop Hing,"Shop 4, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Hong Kong Style,Noodles/Rice Noodles,Dai Pai Dong,,Lok Fu,75,Hong Kong,Wong Tai Sin,114.18742,22.337608,7152-8685
338,Buono Nuobo,"Shop 2101, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Japanese,Pizza,Meatless Menu,Yoshoku,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,2923-7775
339,Mou Mou Club,"Shop U109, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Japanese,Hot Pot,Meatless Menu,Food Wise Eateries,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,6051-3520
340,Sushi Dai,"Shop U108, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Japanese,Sushi/Sashimi,Meatless Menu,Food Wise Eateries,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,7212-5736
341,AOK,"Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Tea Restaurant,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3092-4439
342,Hideyoshi,"UNY, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Japanese,Pizza,Snack Shop & Deli,,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,1370-4208
343,Genki Sushi,"Shop No. 1157, 1/F, Lok Fu Shopping Centre Phase1, 198 Junction Road, Lok Fu",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Lok Fu,300,Asian,Wong Tai Sin,114.18742,22.337608,8837-8075
344,Xia Mian Guan,"Shop3125-3126, 3/F, Lok Fu Plaza, Lok Fu",$51-$100,Shanghai,Noodles/Rice Noodles,Stir-Fry,,Lok Fu,75,Chinese,Wong Tai Sin,114.1862935,22.3377402,7690-7965
345,Eat Chinese Restaurant,"G/F, 182-188 Junction Rd, Kam Kwok Bldg., Lok Fu",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Lok Fu,300,Hong Kong,Wong Tai Sin,114.188012,22.3356285,2460-7177
346,King Bakery,"Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3064-1072
347,TeaWood Taiwanese Cafe & Restaurant,"Shop 1108-1110, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Taiwan,Dessert,Coffee Shop,Food Wise Eateries,Lok Fu,75,Chinese,Wong Tai Sin,114.18742,22.337608,5754-1948
348,Slim Taste,"Shop 1104, 1/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Jingchuanhu,Ramen,,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,9475-7547
349,Panash,"Shop 08, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Western,Bakery,Takeaway,,Lok Fu,40,Western,Wong Tai Sin,114.18742,22.337608,3589-0494
350,MOS Burger MOS Burger,"UN 2-15, Shop 2101, Lok Fu Plaza,  198 Junction Road, Lok Fu",Below $50,Japanese,Hamburger,Fast Food,,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,1618-5726
351,Yoshinoya,"Shop U104 & U105 UG/F, Lok Fu Shopping Centre II, 198 Junction Road, Lok Fu",$51-$100,Japanese,Fast Food,,,Lok Fu,75,Asian,Wong Tai Sin,-80.9838009,33.9579417,5687-1115
352,Mixian Sense,"Shop 1112, 1/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Sichuan,Noodles/Rice Noodles,,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,7902-5114
353,Saint Honore Cake Shop,"Shop 2118, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,1012-6969
354,Cafe Restaurant Kobe Kitanozaka,"2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Japanese,Fast Food,Yoshoku,,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,3079-9749
355,Super Super Congee & Noodle,"Shop 1113-1114, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Noodles/Rice Noodles,Congee,Fast Food,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,7683-5802
356,Starbucks Coffee,"Shop U215, UG 2/F, Lok Fu Plaza, 198 Junction Road, Lok Fu, Lok Fu",Below $50,American,Salad,Coffee Shop,Casual Drink,Lok Fu,40,Western,Wong Tai Sin,114.1862935,22.3377402,5425-0721
357,Marugame Seimen,"Shop 1213, 1/F, Lok Fu Plaza, 198 Junction Road, Lok Fu",$51-$100,Japanese,Udon,,,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,9020-7870
358,Saint Honore Cake Shop,"Shop SG17-SG18, Lok Fu Shopping Centre Phase 1, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,4483-6176
359,Pizza Hut,"Shop L201-204, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Italian,Pizza,Western Restaurant,,Lok Fu,300,Western,Wong Tai Sin,114.18742,22.337608,5121-2159
360,WATEI Japanese Restaurant,"Shop U110-U111, U/F, Lok fu Centre, Lok Fu",$101-$200,Japanese,Ramen,Sushi/Sashimi,,Lok Fu,300,Asian,Wong Tai Sin,114.1862935,22.3377402,3677-9574
361,YunNan Flavour Garden,"Shop 3112, 3/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Yunnan,Hong Kong Style,Tea Restaurant,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,7984-9322
362,Joy Luck House,"Shop 3106-09, 3/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Guangdong,Dim Sum,Stir-Fry,Dim Sum Restaurant,Lok Fu,75,Hong Kong,Wong Tai Sin,114.18742,22.337608,3090-0044
363,Tai Cheong Bakery,"Shop 1105, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,7830-5655
364,euro go go,"Shop 1121-1122, Level 1, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Western,Western Restaurant,Fast Food,Coffee Shop,Lok Fu,75,Western,Wong Tai Sin,114.18742,22.337608,3678-4223
365,Foo Lum Palace,"Shop L206 - 211, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Lok Fu,300,Hong Kong,Wong Tai Sin,114.18742,22.337608,4338-4464
366,Sweet GAGA,"2/F, Zone A, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Western,Bakery,Ice Cream/yogurt,Chocolate/Candy Shop,Lok Fu,40,Western,Wong Tai Sin,114.1872659,22.3385753,8208-2662
367,Tai Hing,"Shop L228, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Hong Kong Style,Chinese BBQ,Tea Restaurant,Food Wise Eateries,Lok Fu,75,Hong Kong,Wong Tai Sin,114.18742,22.337608,5579-2980
368,Maxim's Cake Shop,"Kiosk LOF 1, Lok Fu MTR Station, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.1862935,22.3377402,5937-2402
369,Chef Of Emperor,"UNY, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Shanghai,Food Court,,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,2297-3563
370,Eat East,"Shop L215, UG2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Takeaway,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,9658-3411
371,Milk Top,"2/F, UNY, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Japanese,Dessert,Ice Cream/yogurt,Food Court,Lok Fu,40,Asian,Wong Tai Sin,114.18742,22.337608,4823-5365
372,A-1 Bakery,"Shop L0F10, Lok Fu MTR Station, Lok Fu",Below $50,Western,Bakery,,,Lok Fu,40,Western,Wong Tai Sin,114.1862935,22.3377402,4229-9231
373,GDM Gourmet Kitchen,"Shop 406&408, Lok Fu Market, 198 Junction Road, Lok Fu",Below $50,Italian,Takeaway,Snack Shop & Deli,Food Court,Lok Fu,40,Western,Wong Tai Sin,145.0805995,-37.8876953,9792-1098
374,cha FOR TEA,"Shop UN2-06, UNY, 2/F., Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Taiwan,Taiwanese Drink,,,Lok Fu,40,Chinese,Wong Tai Sin,114.18742,22.337608,1590-8258
375,Fairwood,"Level 2, Wang Fai Centre, Want Tau Hom Estate,, Lok Fu",Below $50,Hong Kong Style,Fast Food,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.1862935,22.3377402,6598-6337
376,Red Dragonfly Restaurant,"Shop 3110-11, 3/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Hong Kong Style,Tea Restaurant,,,Lok Fu,75,Hong Kong,Wong Tai Sin,114.18742,22.337608,3471-6624
377,Arome Bakery,"Shop LOF 8, Lok Fu MTR Station, Lok Fu",Below $50,Western,Bakery,,,Lok Fu,40,Western,Wong Tai Sin,114.1862935,22.3377402,7406-7899
378,Italian Tomato,"Shop UN2-10, UNY, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Italian,Bakery,Dessert,,Lok Fu,75,Western,Wong Tai Sin,114.18742,22.337608,6322-3270
379,Sam Tin Bakery Shop,______________________2__,Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.2092899,22.3536038,3289-1111
380,Honeymoon Dessert,"Shop L232, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Dessert,Sweet Soup,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3063-6324
381,Cafde Coral,"UG1/F, Phase 2, Lok Fu Plaza, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,9942-4141
382,Hung Fook Tong,"Shop 1116, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,5499-0523
383,BBQ Chicken Express,"Shop 19, UNY Apita, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Korean,Korean Fried Chicken,,,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,6903-4914
384,Walnut Shop,"Shop 2119, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Chocolate/Candy Shop,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,1834-7539
385,Hung Fook Tong,"Shop LOF 7, Lok Fu MTR Station, Lok Fu",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.1862935,22.3377402,3901-3984
386,Go Veggie Express,"Shop 2-12, UNY, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Vegetarian,Takeaway,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,3360-2333
387,Hung Fook Tong,"Shop 1116, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,5642-8741
388,McCafe,________________1__7____,Below $50,American,Bakery,Coffee Shop,,Lok Fu,40,Western,Wong Tai Sin,114.1730856,22.3577518,3067-7388
389,Wing Wah,"Shop L105, Lok Fu Shopping Centre Phase 1, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,Chinese Cake,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,2404-7091
390,Sunny Boulangerie et Patisserie,"Shop L206 - 211, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Hong Kong Style,Bakery,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,5396-3290
391,Hoi Tin Tong,"Shop L221-L223, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,Guangdong,Herbal Tea,,,Lok Fu,40,Hong Kong,Wong Tai Sin,114.18742,22.337608,4454-0362
392,Kentucky Fried Chicken,"Shop U201-U203, 2/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,American,Fast Food,,,Lok Fu,40,Western,Wong Tai Sin,114.18742,22.337608,9516-5918
393,McDonald's,"Shop 7, LG/1, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",Below $50,American,Hamburger,Fast Food,,Lok Fu,40,Western,Wong Tai Sin,114.18742,22.337608,6238-1232
394,Viet's Choice,"Shop 1103, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Vietnamese,Noodles/Rice Noodles,,,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,1603-2340
395,Domon Sapporo Ramen Domon,"Shop 1106-1107, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",$51-$100,Japanese,Ramen,,,Lok Fu,75,Asian,Wong Tai Sin,114.18742,22.337608,1640-6417
396,Diamond Cafe,"G/F, 37 Kam Hon House, Choi Hung Estate, Choi Hung",Below $50,Hong Kong Style,Tea Restaurant,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2061716,22.3364689,2512-9980
397,Ming Kee Noodle,"No. 3, Cooked Food Stall, Choi Wan Estate,, Choi Hung",Below $50,Hong Kong Style,Noodles/Rice Noodles,Cooked Food Center,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,3691-6475
398,Tong Kee Bao Dim,"Shop CHH15, Choi Hung MTR Station, Choi Hung",Below $50,Hong Kong Style,Chinese Buns,Takeaway,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,1361-8361
399,Tai Hing Cafe,"No. 6, Cooked Food Stall, Choi Wan Estate,, Choi Hung",Below $50,Hong Kong Style,Tea Restaurant,Cooked Food Center,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,5351-5656
400,Kam Pik Restaurant,"G/F., 22 Kam Pik House, Choi Hung Estate,, Choi Hung",Below $50,Guangdong,Dim Sum,Stir-Fry,Dim Sum Restaurant,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2054054,22.3352649,8447-7682
401,Subway,"Shop CHH16, Choi Hung Station, Choi Hung",Below $50,Western,Meatless Menu,Takeaway,Fast Food,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,3416-3500
402,McDonald's,"Shop G1, G/F, Carpark, Ping Shek Estate, Ngau Chi Wan, Choi Hung",Below $50,American,Hamburger,Fast Food,,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,9013-3964
403,Gofuku Cafe Restaurant,"G/F., 26 Kam Chi Path, Ngau Chi Wan Village,, Choi Hung",Below $50,Hong Kong Style,Bakery,Noodles/Rice Noodles,Takeaway,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,1674-2884
404,Oi Kwan Fast Food Restaurant,"Flat 11, G/F., Kam Pik House, Choi Hung Estate,, Choi Hung",Below $50,Hong Kong Style,Fast Food,Snack Shop & Deli,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2054054,22.3352649,7248-8599
405,Sushi Express,"Shop 4, G/F, Ping Shek Estate Carpark, Choi Hung",$51-$100,Japanese,Sushi/Sashimi,Sushi Bar,,Choi Hung,75,Asian,Wong Tai Sin,114.109497,22.396428,7158-6147
406,KMB Staff Canteen,"Choi Hung Bus Terminus, Choi Hung Estate, Choi Hung",Below $50,Hong Kong Style,Tea Restaurant,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,8686-9473
407,Boo Dim Lui Lee,"G/F, Ngau Chi Wan Village, 5 Wah Chi Path, Choi Hung",Below $50,Hong Kong Style,Bakery,Chinese Buns,Snack Shop & Deli,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,6640-9008
408,Ying Hing,"No. 1, Cooked Food Stall, Choi Wan Estate,, Choi Hung",Below $50,Guangdong,Takeaway,Snack Shop & Deli,Cooked Food Center,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,9536-2339
409,Sun Yuen Restaurant,"Stall 8-9, 2/F., Cooked Food Centre, Ngau Chi Wan, Choi Hung",Below $50,Guangdong,Dim Sum,Cooked Food Center,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,6338-0518
410,Cafe de Itamomo,"Shop A209, 2/F, Choi Wan Complex Centre, Choi Wan Est, 45 Clear Water Bay Road, Choi Hung",Below $50,Western,Western Restaurant,Food Wise Eateries,,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,7788-8958
411,McDonald's,"Shops A104&A115;, UG/F., Choi Wan Complex Centre Phase II, Choi Wan Est., 45 Clear Water Bay Road, Choi Hung",Below $50,American,Hamburger,Fast Food,,Choi Hung,40,Western,Wong Tai Sin,36.6570958,-1.2068462,3972-3886
412,Kam Wah Restaurant,"109-114, Tsuen Shek House, Ping Shek Estate,, Choi Hung",Below $50,Hong Kong Style,Bakery,Takeaway,Tea Restaurant,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2090876,22.333733,2263-0165
413,Arome Bakery,"Shop CCH20, Choi Hung MTR Station, Choi Hung",Below $50,Western,Bakery,,,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,7080-6436
414,Bun Kee Congee & Noodle Foods,"109-112, G/F., Yuk Shek House, Ping Shek Estate, Choi Hung",$51-$100,Hong Kong Style,Tea Restaurant,,,Choi Hung,75,Hong Kong,Wong Tai Sin,114.2096194,22.333543,4414-3604
415,Taipan Bread & Cakes,"Shop 14, Choi Hung MTR Station,, Choi Hung",Below $50,Western,Bakery,,,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,4170-4686
416,Moon Wu Cafe,"G/F., 3 Kam Chi Path, Ngau Chi Wan Village,, Choi Hung",Below $50,Hong Kong Style,Noodles/Rice Noodles,Stir-Fry,Tea Restaurant,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,4964-5798
417,Fat Kee Food Shop,"Stall 2&3, 2/F., Cooked Food Centre, Ngau Chi Wan, Choi Hung",Below $50,Hong Kong Style,Takeaway,Fast Food,Cooked Food Center,Choi Hung,40,Hong Kong,Wong Tai Sin,13.0223636,46.8847183,2150-8413
418,Cafde Coral,________________8________________B201A__,Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,5427-5163
419,Bao Dim Sin Seng,"Shop A103, Cho Wan Commercial Complex, Choi Hung",Below $50,Hong Kong Style,Chinese Buns,Meatless Menu,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,6599-3817
420,YING FAI COFFEE HOUSE,________________29______,Below $50,Hong Kong Style,Coffee Shop,Tea Restaurant,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.17225,22.2750045,6674-7728
421,Maxim's Cake Shop,"Kiosk CHH 3, Choi Hung MTR Station, Choi Hung",Below $50,Hong Kong Style,Bakery,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,3373-7012
422,Hung Fook Tong,"Shop 16, Choi Hung MTR Station, Choi Hung",Below $50,Guangdong,Herbal Tea,Herbal Cuisine,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,7103-2212
423,Shing Fat Restaurant,"Shop A3-9, Choi Wan Complex, Choi Wan Estate, Choi Hung",$51-$100,Hong Kong Style,Noodles/Rice Noodles,Congee,Takeaway,Choi Hung,75,Hong Kong,Wong Tai Sin,114.109497,22.396428,4282-4257
424,Tokyo Bakery,"35, G/F, Kam Hon House, Choi Hung Estate, Choi Hung",Below $50,Hong Kong Style,Bakery,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2061716,22.3364689,4505-5532
425,Ho Choi Seafood Restaurant,"3-4/F, Choi Wan Complex Centre Phase ll, Choi Wan Estate, 45 Clear Water Bay Road, Choi Hung",$101-$200,Guangdong,Seafood,Dim Sum,Dim Sum Restaurant,Choi Hung,300,Hong Kong,Wong Tai Sin,114.109497,22.396428,3666-7222
426,C3,"Shop A319, Choi Wan Commercial Complex, 45 Clear Water Bay Road, Choi Hung",Below $50,Western,Bakery,,,Choi Hung,40,Western,Wong Tai Sin,114.109497,22.396428,2432-7348
427,Hoi Tin Tong,"Shop M05, InfinityEight, 8 Clear Water Bay Road, Choi Hung",Below $50,Guangdong,Herbal Tea,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,6653-0637
428,Kam Yuen Cafe,"Shop 9, Cooked Food Centre, Choi Wan Estate, Choi Hung",Below $50,Hong Kong Style,Takeaway,Tea Restaurant,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,2779-9618
429,Choi Wong Chiu Chau Restaurant,"G/F, 4 Kwai Chi Path, Ngau Chi Wan , Choi Hung",$51-$100,Chiu Chow,Dai Pai Dong,,,Choi Hung,75,Chinese,Wong Tai Sin,114.109497,22.396428,4674-4632
430,Thousand Billion Restaurant,"5 Fu Chi Path, Ngau Chi Wan, Choi Hung",Below $50,Hong Kong Style,Tea Restaurant,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.2079042,22.3357619,1656-5934
431,Maple Cafe,"Shop 25, G/F, Kam Pik House, Choi Hung Estate, Choi Hung",Below $50,Hong Kong Style,,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,2714-6546
432,Perfect Restaurant,"G/F., 8 Kam Chi Path, Ngau Chi Wan Village,, Choi Hung",Below $50,Hong Kong Style,Noodles/Rice Noodles,Takeaway,Tea Restaurant,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,7456-0939
433,Fairwood,"Shop 1, Ping Shek Market, Market Block, Ping Shek Estate,, Choi Hung",Below $50,Hong Kong Style,Fast Food,,,Choi Hung,40,Hong Kong,Wong Tai Sin,114.109497,22.396428,3271-5925
434,Nice Inn Restaurant,"1/F, Ping Shek Estate, Choi Hung, Choi Hung",$101-$200,Guangdong,Dim Sum Restaurant,,,Choi Hung,300,Hong Kong,Wong Tai Sin,114.109497,22.396428,6751-7329
435,Igarashi Japanese Restaurant,____________________12____,$51-$100,Japanese,Ramen,Curry,Sushi/Sashimi,Choi Hung,75,Asian,Wong Tai Sin,114.2591219,22.3111356,7130-1762
